epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.7619918228208132,0.43578964309140583,0.001
2.0,0.6894816140966558,0.42952629256847125,0.001
3.0,0.6633611591758242,0.42691604594606497,0.001
4.0,0.6510283609357862,0.4502258401640638,0.001
5.0,0.6375073676402908,0.45586249037080456,0.001
6.0,0.6345163389376015,0.4629470615863279,0.001
7.0,0.6258045468360756,0.47674125140150564,0.001
8.0,0.619004799960272,0.504547178550058,0.001
9.0,0.6227463923442136,0.5316287590166366,0.0005
10.0,0.6094542928308945,0.520178133613678,0.0005
11.0,0.6062340756637022,0.5216808892363544,0.0005
12.0,0.6057533016123843,0.528000680770416,0.0005
13.0,0.6020559279022702,0.5375494353115299,0.0005
14.0,0.6038802906965753,0.5367842692735414,0.0005
15.0,0.595693659883649,0.5462420385607465,0.00025
16.0,0.5974159217184516,0.5515710034094523,0.00025
17.0,0.5935431456616477,0.5484698401788437,0.00025
18.0,0.5961654764578348,0.5575697153286122,0.00025
