epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.852424288454076,0.4272371847426527,0.001
2.0,0.7072630884541068,0.3956145685833094,0.001
3.0,0.6234809897507831,0.40411697796598794,0.001
4.0,0.5586807713134021,0.4425744910167294,0.001
5.0,0.5154271021390416,0.4829228863315291,0.001
6.0,0.4729401429620771,0.5166769679066395,0.001
7.0,0.42468680047178975,0.5468621676926009,0.001
8.0,0.3945166766896622,0.5783730193517094,0.0005
9.0,0.3755547052862285,0.5971796174236781,0.0005
10.0,0.355244049866488,0.6083322332025095,0.0005
11.0,0.3400828316459737,0.617951228498892,0.0005
12.0,0.3296969724308913,0.6369836932967323,0.0005
13.0,0.31421823791384446,0.6451224073702592,0.0005
14.0,0.30965153476235213,0.6507082996670336,0.00025
15.0,0.29668782491339746,0.6589090948411992,0.00025
16.0,0.28966388842862123,0.6676486908218225,0.00025
17.0,0.2850057849711926,0.6716765030632894,0.00025
