epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.8191285651663075,0.413492244664238,0.001
2.0,0.6956332779448965,0.41005677017322273,0.001
3.0,0.633569580057393,0.4136402703268559,0.001
4.0,0.6010346509840178,0.4305367545594815,0.001
5.0,0.5778848334499027,0.4736579865477491,0.001
6.0,0.5480714122886243,0.48013188029480813,0.001
7.0,0.5347308620162632,0.5011639812367452,0.001
8.0,0.5043957077938578,0.538387854416818,0.0005
9.0,0.49286656276039453,0.5381889400523823,0.0005
10.0,0.4870276619558749,0.5438554553746136,0.0005
11.0,0.48038949007573334,0.5487347169083799,0.0005
12.0,0.466123847209889,0.5848654988160821,0.0005
13.0,0.46267449531866156,0.5907449343579305,0.0005
14.0,0.46158431276031164,0.6017901627387542,0.00025
15.0,0.4503656036179999,0.588567988255659,0.00025
16.0,0.44674190684505133,0.6032251609595062,0.00025
17.0,0.44459404763968097,0.609531168203687,0.00025
