epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.8128788821075273,0.41281380011460145,0.001
2.0,0.6947871317034182,0.3978399574170987,0.001
3.0,0.6335838372292726,0.4087418073454799,0.001
4.0,0.6026986059935197,0.426663179324704,0.001
5.0,0.5786051335542098,0.4584558860573706,0.001
6.0,0.5475654822328816,0.4679918073800974,0.001
7.0,0.5302875560262929,0.4946585109530578,0.001
8.0,0.5037529040937838,0.5124053530167284,0.0005
9.0,0.4858596506326095,0.520305801101647,0.0005
10.0,0.48204953903737274,0.5277139970699252,0.0005
11.0,0.4761025776033816,0.5301952356204195,0.0005
12.0,0.46425593741562055,0.5493313555634178,0.0005
13.0,0.460742914158365,0.552968618260721,0.0005
14.0,0.4600332146105559,0.5637943088748049,0.00025
15.0,0.44493674000968103,0.5618239381232637,0.00025
16.0,0.4435746598502864,0.568124152427157,0.00025
17.0,0.44032007261462836,0.5758903532829868,0.00025
