epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.7993580085878581,0.41251485199386895,0.001
2.0,0.7000985671507072,0.39952520583654594,0.001
3.0,0.6559779145071376,0.4140453400765444,0.001
4.0,0.6331008483143622,0.42809014900803044,0.001
5.0,0.6143713388135901,0.4490357887927101,0.001
6.0,0.5936652562505205,0.4659774007365173,0.001
7.0,0.582480341748658,0.4815544266758007,0.001
8.0,0.5676290008250653,0.4837172588081339,0.0005
9.0,0.5610727021522076,0.4924169404017353,0.0005
10.0,0.5512518524364302,0.5058214312427429,0.0005
11.0,0.5472718724779263,0.510879071193491,0.0005
12.0,0.5448622414935842,0.5190404124850789,0.0005
13.0,0.5399324688351247,0.5246203315635436,0.0005
14.0,0.5298954455462738,0.5284752089644104,0.00025
15.0,0.5240183145925666,0.5360675508798991,0.00025
16.0,0.5297480470730915,0.5397922298403286,0.00025
17.0,0.5188915856578041,0.5381435071602139,0.00025
