epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.7741038414070308,0.4080128802482738,0.001
2.0,0.6993508063304197,0.3913944814858478,0.001
3.0,0.6777850422130269,0.39863393618420223,0.001
4.0,0.6597343912802938,0.4135772005764678,0.001
5.0,0.6483340908261115,0.419227690708429,0.001
6.0,0.6381728971839711,0.42930807013829203,0.001
7.0,0.6289313588172767,0.43388934095093257,0.001
8.0,0.6226634431796468,0.43835705847328926,0.0005
9.0,0.620886262232584,0.44539561106388226,0.0005
10.0,0.6149118384990976,0.4482371026251514,0.0005
11.0,0.6117489784639606,0.4587303265018234,0.0005
12.0,0.6102708692510164,0.45670643637534314,0.0005
13.0,0.6055084112090416,0.46117430938383375,0.0005
14.0,0.6048999377370133,0.46248542667085946,0.00025
15.0,0.6004393607694379,0.46482931962440105,0.00025
16.0,0.5955128781861307,0.46799545725360187,0.00025
17.0,0.5995715241143658,0.4711828457606411,0.00025
