epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.8646433339334935,0.4513049484535596,0.001
2.0,0.7675944226267316,0.4242360906179295,0.001
3.0,0.7264631157552445,0.42276950567700455,0.001
4.0,0.7024870210898656,0.4340042471885681,0.001
5.0,0.6846258375548506,0.4588693612007074,0.001
6.0,0.6672337926539308,0.4723913359199549,0.001
7.0,0.6576294696339461,0.4801902268651271,0.001
8.0,0.6412522104051378,0.4883058041204011,0.001
9.0,0.6315818818933308,0.5074412714055532,0.0005
10.0,0.6217034629322667,0.5113888092696927,0.0005
11.0,0.6145866198482365,0.5192089550620084,0.0005
12.0,0.6127297614958804,0.5251963141183145,0.0005
13.0,0.6082511331920327,0.5258471431560391,0.0005
14.0,0.6032402993303111,0.531787540975096,0.0005
15.0,0.5941062712365655,0.5465317845474684,0.00025
16.0,0.5942985642319104,0.5494457786520496,0.00025
17.0,0.5928152644035247,0.5440463504416453,0.00025
18.0,0.5915924745844512,0.5449362151877849,0.00025
