epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.86009655698486,0.4185201867634032,0.001
2.0,0.7499472498893738,0.41014186660535473,0.001
3.0,0.6900182159050651,0.4197253837986284,0.001
4.0,0.6554525345563889,0.43369448269558786,0.001
5.0,0.635855061204537,0.4602257230656636,0.001
6.0,0.6028865647056828,0.476302834187012,0.001
7.0,0.5859265884627467,0.49194262824204293,0.001
8.0,0.5593439969031707,0.5206857085488249,0.0005
9.0,0.5422570828510367,0.5374822501402234,0.0005
10.0,0.5345284193754196,0.5471037203958461,0.0005
11.0,0.5313322641279387,0.5452125386770115,0.0005
12.0,0.5138812395541564,0.5734630203012816,0.0005
13.0,0.5147731194029683,0.5805332408201226,0.0005
14.0,0.5046122151872386,0.5944490339037632,0.00025
15.0,0.49851519841214886,0.5843182901758294,0.00025
16.0,0.4958607275848803,0.5937367501998052,0.00025
17.0,0.48864154517650604,0.6005256338671305,0.00025
