epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.8971078177672789,0.4148650817475465,0.001
2.0,0.7746063804423986,0.41207921596073166,0.001
3.0,0.7094018670150936,0.42714636249052906,0.001
4.0,0.6729788688590825,0.4643943446432139,0.001
5.0,0.6398802003199043,0.4728137473352091,0.001
6.0,0.6189698869677528,0.4954695999622345,0.001
7.0,0.5950170297615931,0.5115004433684994,0.001
8.0,0.5731805046905631,0.5250692109223537,0.0005
9.0,0.5616952168755892,0.5275805885354504,0.0005
10.0,0.5460223541138278,0.5463509814057288,0.0005
11.0,0.5425126088441726,0.5564885229262723,0.0005
12.0,0.5375937001129792,0.5571992578204542,0.0005
13.0,0.5306738964564734,0.5654554881773661,0.0005
14.0,0.5233195680595001,0.5714724616322455,0.00025
15.0,0.5149176320874429,0.5783346994214703,0.00025
16.0,0.5190345726870343,0.5796752912378728,0.00025
17.0,0.5118356432462532,0.577882041186745,0.00025
