model,dataset,additional_synthetic_ratio,synthetic_share_of_total,real_train,synthetic_train,total_train,best_epoch,best_validation_mse_scaled,validation_mae,test_mae,test_rmse,test_r2,test_correlation,test_tail_mae_worst_10pct,test_tail_mae_worst_5pct
block_bootstrap,real_only,0.0,0.0,4710,0,4710,2,0.3956145685833094,0.04751623953656013,0.07955041510202929,0.10070963378275659,-0.46746526441877556,-0.2858802687928045,0.219274934890166,0.25493979518828186
block_bootstrap,real_plus_25pct,0.25,0.2000679347826087,4710,1178,5888,3,0.41459049056711156,0.04598705644015727,0.08467806587638364,0.10828393018580644,-0.6964998165861005,-0.34117879427955317,0.23276519930102135,0.26415416347267834
block_bootstrap,real_plus_50pct,0.5,0.3333333333333333,4710,2355,7065,2,0.41207921596073166,0.04857789711847771,0.08495744341435595,0.10580205796492659,-0.6196233421066673,-0.3334903894005456,0.22057218699018813,0.2562131010319876
block_bootstrap,real_plus_100pct,1.0,0.5,4710,4710,9420,2,0.4089712511634202,0.04851311223386222,0.08636091396147294,0.10797955475187933,-0.6869758340269543,-0.3432266432141846,0.22304124519473217,0.25837527612305206
