epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.8998672290718985,0.42525830715243995,0.001
2.0,0.7875022222282021,0.4089712511634202,0.001
3.0,0.7336921884502322,0.4243528874810606,0.001
4.0,0.7052956882302674,0.45725172380693097,0.001
5.0,0.6791113370796171,0.4839547487976249,0.001
6.0,0.6601645827546494,0.4706113447138316,0.001
7.0,0.6458112914597659,0.4725468703362619,0.001
8.0,0.6296778418076266,0.4993510716086392,0.0005
9.0,0.6210689664899417,0.5103731253001367,0.0005
10.0,0.6149635853281447,0.5153269235483944,0.0005
11.0,0.6087911053574515,0.5167594746601113,0.0005
12.0,0.603470931286012,0.5244116355628425,0.0005
13.0,0.6065026896521291,0.5197344481554614,0.0005
14.0,0.6003408859489829,0.5204230546300588,0.00025
15.0,0.5933785144817044,0.528655639902473,0.00025
16.0,0.596968532570355,0.5285810873107618,0.00025
17.0,0.5924352515275312,0.5262202559339948,0.00025
