epoch,train_mse_scaled,validation_mse_scaled,learning_rate
1.0,0.8664136438266091,0.41521384056218325,0.001
2.0,0.7383316366568856,0.41874645982246733,0.001
3.0,0.663088154533635,0.41459049056711156,0.001
4.0,0.6284911567750184,0.44011340365139157,0.001
5.0,0.5980399574922479,0.4679984126288818,0.001
6.0,0.5670808773973713,0.4895320068150108,0.001
7.0,0.5392961851928545,0.5205779537623626,0.001
8.0,0.5133942547051803,0.5532360508322195,0.001
9.0,0.4922035576208778,0.5837183976017232,0.0005
10.0,0.4806819137023843,0.5826459946070176,0.0005
11.0,0.47166225702866266,0.575961808970922,0.0005
12.0,0.4592948439328567,0.6023730748865802,0.0005
13.0,0.4526221356962038,0.6152458047762709,0.0005
14.0,0.45316539186498395,0.621211558970822,0.0005
15.0,0.4329754930475484,0.6066903543524347,0.00025
16.0,0.42881615783857263,0.6251501316066392,0.00025
17.0,0.4238648343345393,0.6309617563886935,0.00025
18.0,0.4205801370351211,0.6302642753941523,0.00025
